,1,2
224,Pleurisy,"cytomegalovirus (CMV) – a common virus found in most people, which doesn't usually cause any noticeable symptoms,parainfluenza – the virus that causes the childhood condition croup,injury – if the ribs are bruised or fractured, the pleura can become inflamed,pulmonary embolism – a blood clot developing inside the lungs,HIV or AIDS,lung cancer"
225,Pneumonia,"one week – fever should have resolved,four weeks – chest pain and mucus production should have substantially reduced,six weeks – cough and breathlessness should have substantially reduced,three months – most symptoms should have resolved, but you may still feel very tired (fatigue),six months – most people will feel back to normal,the bacteria causing the infection is resistant to antibiotics – your GP may prescribe a different antibiotic, or they may prescribe a second antibiotic for you to take with the first one,a virus is causing the infection, rather than bacteria – antibiotics have no effect on viruses, and your body's immune system will have to fight the viral infection by creating antibodies,your symptoms haven't improved,your symptoms have come back,you smoke,you're over the age of 50"
226,Polymyalgia rheumatica,"a mild high temperature (fever) of 37-38C (98.6-100.4F),depression,fatigue (extreme tiredness),loss of appetite,weight loss,jaw pain or cramping in your jaw muscles which is worse when you're eating,pain in the tongue when chewing ,vision loss or vision disturbances, such as double vision"
227,Post-traumatic stress disorder (PTSD),"flashbacks,nightmares,repetitive and distressing images or sensations,physical sensations – such as pain, sweating, nausea or trembling,irritability,angry outbursts,difficulty concentrating,bedwetting,being unusually anxious about being separated from a parent or other adult,re-enacting the traumatic event(s) through their play"
228,Postnatal depression,"a persistent feeling of sadness and low mood,loss of interest in the world around you and no longer enjoying things that used to give you pleasure,lack of energy and feeling tired all the time,trouble sleeping at night and feeling sleepy during the day,feeling that you're unable to look after your baby,problems concentrating and making decisions,loss of appetite or an increased appetite (comfort eating),feeling agitated, irritable or very apathetic (you ""can't be bothered""),feelings of guilt, hopelessness and self-blame,difficulty bonding with your baby with a feeling of indifference and no sense of enjoyment in his or her company,frightening thoughts – for example, about hurting your baby; these can be scary, but they're very rarely acted upon,frequently crying for no obvious reason,having difficulty bonding with their baby, looking after them only as a duty and not wanting to play with them,withdrawing from contact with other people,speaking negatively all the time and claiming that they're hopeless,neglecting themselves, such as not washing or changing their clothes,losing all sense of time, such as being unaware whether 10 minutes or two hours have passed,losing their sense of humour,constantly worrying that something is wrong with their baby, regardless of reassurance"
229,Prostate cancer,"needing to urinate more frequently, often during the night,needing to rush to the toilet,difficulty in starting to pee (hesitancy),straining or taking a long time while urinating,weak flow,feeling that your bladder has not emptied fully"
230,Psoriatic arthritis,"hands,feet,knees,elbows,neck and spine,COX-2 inhibitors (often called coxibs), such as celecoxib or etoricoxib,Methotrexate,Sulphasalazine,Leflunomide,Cyclosporin,Antimalarials (such as hydroxychloroquine),Azathioprine,Apremilast,your psoriatic arthritis has not responded to at least two different types of DMARD,you are not able to be treated with at least two different types of DMARD because of other problems e.g. other diseases.,losing weight, if you're overweight,not smoking,dents,pits,discolouration,loosening from the nail bed"
231,Psychosis,"hallucinations,delusions,confused and disturbed thoughts,lack of insight and self-awareness,sight – someone with psychosis may see colours and shapes, or people or animals that aren't there,sounds – someone with psychosis may hear voices that are angry, unpleasant or sarcastic,touch – a common psychotic hallucination is that you are being touched when there is nobody there,smell – usually a strange or unpleasant odour,taste – some people with psychosis have complained of having a constant unpleasant taste in their mouth,rapid and constant speech,random speech – for example, they may switch from one topic to another mid-sentence,a sudden loss in their train of thought, resulting in an abrupt pause in conversation or activity,a high mood (mania) – for example, talking and thinking too much or too quickly"
232,Rare tumours,"rare cancers that only affect children, such as pancreatoblastoma, malignant rhabdoid tumours and melanotic neuroectodermal tumours of infancy,cancers that usually only affect adults, such as cancers of the digestive system, the thyroid and the adrenal gland,rare cancers in the head and neck area, such as nasopharyngeal cancer,rare hormonal/endocrine cancers, such as phaeochromocytoma,rare brain tumours, such as meningioma,rare skin cancers, such as melanomas"
233,Raynaud's phenomenon,"scleroderma – a condition that causes hardening and thickening of the skin,lymphoma – a cancer that develops inside one or more of the glands that are part of the immune system,some types of medicines used to treat high blood pressure – such as angiotensin-converting enzyme (ACE) inhibitors and clonidine,sanders, grinders and disc cutters,hammer drills,chainsaws, hedge trimmers and power mowers,ask to use suitable low-vibration tools,make sure you're using the right tool for the job,check tools are properly maintained,keep cutting tools sharp,reduce the amount of time you use the tool in one go by doing other jobs in between,keep warm at work,wear anti-vibration gloves,store tools indoors, so they don't have cold handles when next used,encourage your blood circulation by keeping warm, stopping smoking and massaging and exercising your fingers during your breaks"
234,Reactive arthritis,"joints and tendons,urinary system,eyes,joint pain, tenderness and swelling – usually in weight-bearing joints such as your knees, feet and ankles,lower back and buttock pain,swelling of your fingers and toes,joint stiffness – particularly in the morning,pain or a burning sensation when you pee,urinating more often than usual,having a sudden urge to pee,a discharge of fluid from the penis or vagina,blood in your urine (less commonly),red eyes,watery eyes,eye pain,swollen eye lids,feeling unusually tired,a high temperature (fever),weight loss,mouth ulcers,painless white patches inside your mouth,a rash,thick and crumbly nails,abdominal (tummy) pain,bouts of diarrhoea"
235,Restless legs syndrome,"tingling, burning, itching or throbbing,a ""creepy-crawly"" feeling,feeling like fizzy water is inside the blood vessels in the legs,a painful, cramping sensation in the legs, particularly in the calves "
236,Retinoblastoma,"Symptoms of retinoblastoma,Diagnosing retinoblastoma,Treating retinoblastoma,Screening for retinoblastoma,Getting support,an unusual white reflection in the pupil – this may be apparent in photos where only the healthy eye appears red from the flash, or you may notice it in a dark or artificially lit room,a squint,a change in the colour of the iris – in one eye or sometimes only in one area of the eye ,a red or inflamed eye – though your child won't usually complain of any pain,poor vision – your child may not focus on faces or objects, or they may not be able to control their eye movements (this is more common when both eyes are affected); they may say that they can't see as well as they used to,intraocular – where the cancer is completely within the eye,extraocular – where the cancer spreads beyond the eye to the surrounding tissue, or to another part of the body (this is rarely seen in the UK) ,laser treatment to the eye (photocoagulation or thermotherapy),freezing the tumour (cryotherapy),chemotherapy – may be used to shrink the tumour before one of the above treatments are used, or it may be recommended if there's a chance of the cancer spreading; in some cases, chemotherapy medication can be delivered directly to the eye,surgery to remove the eye – is often necessary for very large tumours where there's no sight from the eye; if your child needs to have their eye removed, they'll have an artificial eye fitted in its place,you or your partner has had retinoblastoma and you're expecting a baby or you've recently had a baby,you or your partner has had retinoblastoma and you have a child under five years of age who hasn't been checked,you have a child who's been diagnosed with retinoblastoma and you're expecting a baby, or you have other children under five who haven't been checked,your parent (or brother or sister) had retinoblastoma and you have a child under five who hasn't been checked"
237,Retinoblastoma: Children,"a heritable form - this is genetic or inherited. There are often tumours in both eyes (bilateral) or sometimes only in one eye.,a non-heritable form - this is not passed on in the family. There’s one tumour in only one eye (unilateral).  ,a lumbar puncture. The doctor inserts a fine needle between the bones in the lower spine to remove a sample of the fluid from around the brain and spinal cord (cerebrospinal fluid). The fluid is examined under a microscope to check whether there are any cancer cells present.,a bone marrow sample. This may be taken to check whether there are any cancer cells in the bone marrow (where our blood cells are made). The doctor inserts a needle into the hip bone and draws some of the bone marrow out with a syringe so that it can be checked for any cancer cells.,a blood test. This may be taken for genetic testing for the Rb gene. The results of this test can take some months."
238,Rhabdomyosarcoma,"soft tissue sarcomas can develop in muscle, fat, blood vessels, or in any of the other tissues that support, surround and protect the organs of the body,bone sarcomas can develop in any of the bones of the skeleton,a tumour in the head or neck area can sometimes cause a blockage (obstruction) and discharge from the nose or throat. Occasionally, an eye may appear swollen and protruding,a tumour in the abdomen (tummy) can cause pain or discomfort in the abdomen and difficulty going to the toilet (constipation),a tumour in the bladder may cause symptoms such as blood in the urine and difficulty passing urine,where in the body the tumour started,if it is in only one part of the body (localised disease), or if it has spread to another part of the body (metastatic disease).,to shrink the tumour before surgery,after surgery to reduce the risk of rhabdomyosarcoma coming back"
239,Rheumatoid arthritis,"tiredness and a lack of energy,a high temperature (fever),sweating,a poor appetite,weight loss"
240,Ringworm and other fungal infections,"a ring-like red or silvery rash on your skin – your skin will look red and irritated around the ring, but healthy inside,scaly, itchy and inflamed skin,the rings may multiply, grow in size and merge together,the rings may feel slightly raised and the skin underneath may be itchy,blisters and pus-filled sores may form around the rings,small patches of scaly skin on the scalp, which may be sore,patchy hair loss,an itchy scalp,small, pus-filled sores on the scalp,crusting on the scalp,bald patches (if your hair is affected),cracked skin in the affected area,swelling of the skin,a burning or stinging sensation in your skin,scaling patterns around your sole, between your toes and on the side of your foot,red-brown sores, which may have blisters or pus-filled sores around the edge,itchiness and redness around your groin area, such as your inner thighs and bottom (the genitals are not usually affected),scaly, flaky skin on your inner thighs,a whitish thickening of the nail,discolouration (the nail can turn white, black, yellow or green),the nail can become brittle and start to fall off,the skin around the nail may be sore and irritated,or your child develop the symptoms of a fungal scalp infection,have ringworm that has not improved after two weeks of treatment with antifungal cream"
241,Rosacea,"flushing,persistent facial redness,visible blood vessels,papules and pustules,thickened skin,sensitive skin – burning, itching, stinging and pain,dry, rough skin,raised red patches (plaques) on your skin"
242,Scabies,"the folds of skin between fingers and toes,the palms of the hands,the soles and sides of the feet ,the wrists,the elbows,around the nipples (in women),around the genital area (in men) ,the underarm area,around the waist,the inside of the elbow,the lower buttocks,the lower legs,the soles of the feet,the knees,the shoulder blades,the female genital area,the groin,around the ankles,face,head,neck,scalp,palms of the hands,soles of the feet"
243,Scarlet fever,"swollen neck glands,loss of appetite,nausea or vomiting,red lines in the folds of the body, such as the armpit, which may last a couple of days after the rash has gone,a white coating on the tongue, which peels a few days later leaving the tongue red and swollen (this is known as strawberry tongue),a general feeling of being unwell"
244,Schizophrenia,"positive symptoms – represent a change in behaviour or thoughts, such as hallucinations or delusions,negative symptoms – represent a withdrawal or lack of function that you would usually expect to see in a healthy person; for example, people with schizophrenia often appear emotionless, flat and apathetic,losing interest and motivation in life and activities, including relationships and sex ,lack of concentration, not wanting to leave the house, and changes in sleeping patterns ,being less likely to initiate conversations and feeling uncomfortable with people, or feeling there is nothing to say"
245,Scoliosis,"cerebral palsy – a condition that affects the brain and nerves and occurs during or shortly after birth,muscular dystrophy – a genetic condition that causes muscle weakness,neurofibromatosis – a genetic condition that causes benign tumours to grow along your nerves,Marfan syndrome – a disorder of the connective tissues inherited by a child from their parents,Rett syndrome – a genetic disorder, usually affecting females, which causes severe physical and mental disability"
246,Septic shock,"dopamine,adrenaline,noradrenaline"
247,Shingles,"burning, tingling, numbness or itchiness of the skin in the affected area,a feeling of being generally unwell,a high temperature (fever)"
248,Shortness of breath,"sudden shortness of breath,long-term shortness of breath,Did the breathlessness come on suddenly or gradually?,Did anything trigger it, such as exercise?,How bad is it? Does it only happen when you've been active, or when you're not doing anything?,Is there any pain when you breathe?,Do you have a cough?,Do certain positions make it worse – for example, are you unable to lie down?,pneumothorax – partial collapse of your lung caused by a small tear in the lung surface, which allows air to become trapped in the space around your lungs,pulmonary embolism – a blockage in one of the blood vessels in the lung,pleural effusion – a collection of fluid next to the lung,diabetic ketoacidosis – a complication of diabetes where acids build up in your blood and urine,a problem with your heart rate or rhythm, such as atrial fibrillation (an irregular and fast heart rate) or supraventricular tachycardia (regular and fast heart rate),pulmonary embolism – a recurrent blockage in a blood vessel in the lung,pleural effusion – a collection of fluid next to the lung,narrowing of the main heart valve, restricting blood flow to the rest of the body"
249,Sickle cell disease,"high temperature (a fever) going to 38C (100.4F) or higher,difficulty breathing,drowsiness, confusion, or slurred speech,a severe headache, stiff neck, or dizziness,skin or lips that are very pale,fits (seizures),serious pain that isn't responding to treatments at home,sudden swelling in the tummy,priapism – a painful erection lasting two hours or more,weakness on one or both sides of your body,sudden vision loss, or changes in your vision,hands or feet (this is especially common in young children),ribs and breastbone,spine,pelvis,tummy,legs and arms,headaches,a fast heartbeat,fainting,dizziness,a serious lung condition called acute chest syndrome that can cause chest pain, a cough, breathing difficulties and fever,pain in bones and joints,delayed puberty,delayed growth in childhood,kidney or urinary problems, including bedwetting and blood in the urine,gallstones – these are stones in the gallbladder that can cause jaundice (yellow eyes and skin) and abdominal (tummy) pain,ulcers on the lower legs (open sores that can be very painful),priapism – a painful, persistent erection that can last for several hours,high blood pressure (pulmonary hypertension),transient ischaemic attacks (TIAs) or strokes – these happen when blood flow to the brain is interrupted or blocked,enlarged spleen – this can cause a fast heartbeat, worsening of anaemia, a swollen tummy, shortness of breath and abdominal pain,vision problems like floaters, worsened night vision, blurred vision, patchy vision and, occasionally, sudden vision loss,if a baby's parents weren't screened during pregnancy, this test identifies if the child has sickle cell disease,if screening during pregnancy showed that the baby had a high risk of having sickle cell disease, but no more testing was done, the heel prick test will determine if the child has the condition or not,the heel prick test identifies other inherited conditions, like cystic fibrosis"
250,Sinusitis,"Apply warm packs to your face to soothe your pain and help mucus drain from your sinuses.,Regularly clean the inside of your nose with a salt water solution to help unblock your nose and reduce nasal discharge.,wash and dry your hands,stand over a sink, cup the palm of one hand and pour a small amount of the solution into it,sniff the water into one nostril at a time,remove any tissues, such as nasal polyps (growths), that are blocking the affected sinus,inflate a tiny balloon in the drainage passages from your sinuses to widen them, before the balloon is deflated and removed (this is known as a balloon catheter dilation)"
251,Sjogren's syndrome,"difficulty swallowing and chewing,hoarse voice,difficulty speaking,swollen salivary glands (located between your jaw and ears),burning or stinging eyes,itchy eyes,a feeling that there's grit in your eyes,irritated and swollen eyelids,sensitivity to light (photophobia),tired eyes,mucus discharge from your eyes,in a windy or smoky environment,in an air-conditioned building,travelling on aeroplane,dry skin,tiredness and fatigue – which are common and can lead to total exhaustion,muscle pain,joint pain, stiffness and swelling,vasculitis (inflammation of blood vessels),difficulty concentrating, remembering and reasoning"
252,Skin cancer (melanoma),"getting bigger,changing shape,changing colour,bleeding or becoming crusty,itchy or painful,Asymmetrical – melanomas have 2 very different halves and are an irregular shape.,Border – melanomas have a notched or ragged border.,Colours – melanomas will be a mix of 2 or more colours.,Diameter – melanomas are larger than 6mm (1/4 inch) in diameter.,Enlargement or elevation – a mole that changes size over time is more likely to be a melanoma."
253,Slapped cheek syndrome,"a slightly high temperature (fever) of around 38C (100.4F),a runny nose ,an upset stomach,feeling generally unwell,you have a blood disorder, such as sickle cell anaemia or thalassaemia, or a weakened immune system – the infection can cause severe anaemia that may need to be treated in hospital,rest and drink plenty of fluids – babies should continue their normal feeds,to reduce itchiness, you can take antihistamines or use an emollient (moisturising lotion) – some antihistamines are not suitable for young children, so check with your pharmacist first,inhaling droplets that are sneezed or coughed out by someone with the infection,touching a contaminated surface or object and then touching your mouth or nose"
254,Soft tissue sarcomas,"leiomyosarcomas – which develop in muscle tissue,liposarcomas – which develop in fat tissue,angiosarcomas – which develop in the cells of the blood or lymph vessels,gastrointestinal stromal tumours (GISTs) - which can develop in the connective tissues that support the organs of the digestive system,age – soft tissue sarcomas can occur at any age, including in children, but they are more common in middle-aged or elderly people and your risk increases as you get older,exposure to certain chemicals – exposure to some chemicals, including vinyl chloride, dioxins and phenoxyacetic herbicides, has been associated with increased rates of soft tissue sarcomas,surgery – to remove any tumours,radiotherapy – where high-energy radiation is used to kill cancer cells"
255,Soft tissue sarcomas: Teenagers and young adults,"Rhabdomyosarcomas ,Synovial sarcomas ,Fibrosarcomas,Alveolar rhabdomyosarcomas - these are more common in teenagers and young adults and are usually found in an arm or leg (limb), or in the muscles of the chest or tummy (abdomen).,Embryonal rhabdomyosarcomas - these are more common in children and can start in a number of areas, for example, around the eye, where the throat joins with the nose, the bladder, the womb, or the vagina. ,having tests for a soft tissue sarcoma,living with a soft tissue sarcoma"
256,Sore throat,"different types of streptococcal bacteria – group A streptococcal bacteria cause 10% of sore throats in adults and nearly a third of sore throats in children, with groups C and G also thought to be a cause of sore throats,types A and B of the flu virus,pharyngitis – when the area at the back of your throat (the oropharynx) becomes inflamed,irritation caused by cigarette smoke or alcohol,irritation from a nasogastric tube (passed down your nose and into your stomach to provide liquid food if you can't eat solid food),Stevens-Johnson syndrome – a very severe allergic reaction to medication,Kawasaki disease – a rare condition that affects children under five years of age,some blood disorders, such as leukaemia (cancer of the bone marrow) or aplastic anaemia (when the bone marrow does not produce enough blood cells),oral mucositis (inflammation of the layer of tissue that lines your mouth), which can be caused by radiotherapy or chemotherapy (cancer treatments)"
257,Spleen problems and spleen removal,"It fights any invading germs in the blood (the spleen contains infection-fighting white blood cells).,It controls the level of blood cells. The spleen controls the level of white blood cells, red blood cells and platelets (small cells that form blood clots),It screens the blood and removes any old or damaged red blood cells.,an increased risk of infection, from a reduced number of white blood cells,bleeding or bruising, from a reduced number of platelets,pain behind your left ribs and tenderness when you touch this area,dizziness and a rapid heart rate (a sign of low blood pressure caused by blood loss),feeling full very quickly after eating (an enlarged spleen can press on the stomach),feeling discomfort or pain behind your left ribs ,frequent infections,easy bleeding,Making several incisions in your abdomen (tummy area).,Guiding a laparoscope into your body through one of the incisions, so doctors can see what they're doing. ,Passing thin instruments into your abdomen through the other incisions, to remove your spleen. Gas will be pumped into your abdomen to make this easier.,pneumococcal infections such as pneumonia, with regular boosters at least every five years,Haemophilus influenzae type b (Hib) ,meningitis C (MenC) ,for children under the age of 16,for the first two years after your spleen is removed ,if your immune system doesn't work properly,high temperature (fever),sore throat ,cough,severe headache ,headache with drowsiness or a rash ,abdominal pain ,redness and swelling around the surgical wound,if your spleen is removed, the hospital may give you a splenectomy card to take home with you,you may want to buy your own medical ID, such as a MedicAlert or Medi-Tag bracelet or pendant ,you may be advised to take a course of antibiotics with you,find out if you need an extra meningitis vaccination (types ACWY) ,check if you need any travel vaccinations "
258,Stillbirth,"creating a space in their garden,saying a prayer,writing a poem"
259,Stomach ache and abdominal pain,"IBS – a common condition that causes bouts of stomach cramps, bloating, diarrhoea or constipation, the pain is often relieved when you go to the toilet,period pain – painful muscle cramps in women that are linked to the menstrual cycle,constipation,a UTI that keeps returning,heartburn and acid reflux,abdominal migraines – recurrent episodes of abdominal pain with no identifiable cause"
260,Stomach cancer,"trapped wind and frequent burping,heartburn,feeling full very quickly when eating,feeling bloated after eating,feeling sick,pain in your stomach or breastbone,vomiting (the vomit may be streaked with blood), although this is uncommon in the early stages,blood in your stools, or black stools,loss of appetite,weight loss,tiredness,lumpiness and swelling in your stomach (caused by a build-up of fluid),yellowing of the skin and whites of the eyes (jaundice)"
261,Stomach ulcer,"out from the middle of your tummy up to your neck,down to your belly button,through to your back,can last from a few minutes to a few hours,often starts within a few hours of eating,can cause you to wake up during the night,indigestion,heartburn,loss of appetite,feeling and being sick,weight loss"
262,Stroke,"Face – the face may have dropped on one side, the person may not be able to smile or their mouth or eye may have drooped.,Arms – the person with suspected stroke may not be able to lift both arms and keep them there because of arm weakness or numbness in one arm.,Speech – their speech may be slurred or garbled, or the person may not be able to talk at all despite appearing to be awake.,Time – it is time to dial 999 immediately if you notice any of these signs or symptoms.,complete paralysis of one side of the body,sudden loss or blurring of vision ,dizziness,confusion,difficulty understanding what others are saying,problems with balance and co-ordination ,a sudden and very severe headache resulting in a blinding pain unlike anything experienced before,loss of consciousness"
263,Sudden infant death syndrome (SIDS),"sleep with your baby in an armchair or on the sofa,share a bed with your baby and you or your partner smoke,share a bed with your baby and you or your partner have been drinking alcohol or have been taking drugs,smoke or smoked when you were pregnant or lived with someone who did,is put on their tummy or side,gets too warm,sleeps on a soft mattress,sleeps in another room during the day or night, where you can’t see them,sleeps sitting up or not completely flat, such as in a car seat, as their head can roll forwards and affect how they’re breathing,was born before 37 weeks and/or born weighing less than 2.5 kg"
264,Suicide,"life history – for example, having a traumatic experience during childhood, a history of sexual or physical abuse, or a history of parental neglect,mental health – for example, developing a serious mental health condition, such as schizophrenia,employment – such as poor job security, low levels of job satisfaction or being unemployed ,relationships – being socially isolated, being a victim of bullying or having few close relationships,genetics and family history ,being gay, lesbian or transgender, arising from the prejudice these groups often face,being in debt,being homeless,being a war veteran,being in prison or recently released from prison,working in an occupation that provides access to potential ways of dying by suicide, such as working as a doctor, nurse, pharmacist, farmer or as a member of the armed forces,exposure to other people with suicidal behaviour, especially close friends or family members,a perception (usually mistaken) they are alone in the world and no one really cares about them,a feeling (again, usually mistaken) they are a burden on others and people would be better off if they were dead,fearlessness towards pain and death"
265,Sunburn,"Cool the skin by sponging it with cold water or by having a cold bath or shower – applying a cold compress such as a cold flannel to the affected area may also help.,Apply a water-based emollient or petroleum jelly (such as Vaseline) to keep your skin cool and moist.,blistering or swelling of the skin (oedema),chills,a high temperature (fever) of 38C (100.4F) or above, or 37.5C (99.5F) or above in children under five,have pale, white or light brown skin,have freckles or red or fair hair,tend to burn rather than tan,have many moles,have skin problems relating to a medical condition,are only exposed to intense sun occasionally – for example, while on holiday,are in a hot country where the sun is particularly intense,have a family history of skin cancer,actinic (solar) keratoses – rough and scaly pre-cancerous spots on the skin,eye problems – such as photokeratitis (snow blindness) and cataracts,premature ageing of the skin and wrinkling,a wide-brimmed hat that shades the face, neck and ears,a long-sleeved top,trousers or long skirts in close-weave fabrics that do not allow sunlight through,sunglasses with wraparound lenses or wide arms with the CE Mark and European Standard EN 1836:2005.,the letters ""UVA"" in a circle logo and at least 4-star UVA protection,at least SPF15 sunscreen to protect against UVB,30 minutes before going out,just before you go out,cover up with suitable clothing,spend time in the shade (particularly from 11am to 3pm),wear at least SPF15 sunscreen"
266,Swollen glands,"they haven't gone down within a few weeks or are getting bigger,they feel hard or don’t move when you press them,you don't have an obvious infection and don't feel unwell,tonsillitis,glandular fever,rubella – a viral infection that causes a red-pink skin rash made up of small spots,cytomegalovirus (CMV) – a common virus spread through bodily fluids, such as saliva and urine,cat scratch disease – a bacterial infection caused by a scratch from an infected cat,sarcoidosis – where small patches of red and swollen tissue, called granulomas, develop in the organs of the body,don't go away within a few weeks and slowly get bigger,are painless and firm or hard when you touch them,occur with other symptoms, such as night sweats and weight loss"
267,Testicular cancer,"dull ache or sharp pain in your testicles or scrotum, which may come and go,feeling of heaviness in your scrotum,change in the texture or increase in firmness of a testicle,difference between one testicle and the other,coughing or spitting up blood ,swelling and enlargement of male breasts,a lump or swelling in your neck,lower back pain"
268,Testicular lumps and swellings,"urinary tract infections (UTIs),mumps,a sudden, severe pain in one of your testicles,swelling of the scrotum,nausea,vomiting,abdominal (tummy) pain,painless (although some men do experience pain or discomfort),solid and firm,not tender to touch"
269,Thirst,"sickle cell aneamia – an inherited blood disorder,excessive bleeding"
270,Threadworms,"loss of appetite,weight loss,skin infection around the anus if bacteria enter any scratches caused by itching – wearing cotton gloves while sleeping may help prevent this,bedwetting,you think you have threadworms and you're pregnant or breastfeeding,your child has threadworms and they're under 2 years old"
271,Thrush in men,"irritation, burning or itching under the foreskin or on the tip of the penis,redness, or red patches under the foreskin or on the tip of the penis,a discharge under the foreskin that may look like cottage cheese – there may also be an unpleasant smell,difficulty pulling back the foreskin of your penis (phimosis),armpits,groin,areas between your fingers,skin between your genitals and anus"
272,Thyroid cancer,"unexplained hoarseness that doesn't get better after a few weeks,pain in your neck"
273,Tinnitus,"glue ear – a build-up of fluid in the middle ear,a perforated eardrum,otosclerosis – an inherited condition where an abnormal bone growth in the middle ear causes hearing loss,exposure to a sudden or very loud noise, such as an explosion or gunfire,acoustic neuroma – a rare non-cancerous growth that affects the hearing nerve in the inner ear,diabetes,Paget's disease – where the normal cycle of bone renewal and repair is disrupted"
274,Tonsillitis,"high temperature (fever) over 38C (100.4F),coughing,headache,earache,feeling sick,feeling tired,swollen, painful lymph glands in your neck,loss of voice or changes to your voice"
275,Tooth decay,"tooth sensitivity – you may feel tenderness or pain when eating or drinking something hot, cold or sweet,grey, brown or black spots appearing on your teeth,bad breath,an unpleasant taste in your mouth,If tooth decay has spread to the pulp (in the centre of the tooth, containing blood and nerves) – this may be removed in a process known as root canal treatment.,visit your dentist regularly – your dentist will decide how often they need to see you based on the condition of your mouth, teeth and gums,cut down on sugary and starchy food and drinks, particularly between meals or within an hour of going to bed – some medications can also contain sugar, so it's best to look for sugar-free alternatives where possible,look after your teeth and gums – brushing your teeth properly with a fluoride toothpaste twice a day, using floss and an interdental brush at least once a day"
276,Toothache,"a cracked tooth – the crack is often so small that it can't be seen with the naked eye,loose or broken fillings,receding gums – where the gums shrink (contract) to expose softer, more sensitive parts of the tooth root,periapical abscess – a collection of pus at the end of the tooth caused by a bacterial infection,periodontal abscess – a collection of pus in the gums caused by a bacterial infection,ulcers on your gums,sore or swollen gums around a tooth that's breaking through – for example, when your wisdom teeth start to come through ,an injury to the joint that attaches the jaw to the skull (temporomandibular joint),limit your intake of sugary foods and drinks – you should have these as an occasional treat and only at mealtimes; read more about cutting down on sugar,clean between your teeth using dental floss and, if necessary, use a mouthwash ,don't smoke – it can make some dental problems worse"
277,Transient ischaemic attack (TIA),"Face – the face may have dropped on one side, the person may not be able to smile, or their mouth or eye may have drooped.,Arms – the person with suspected stroke may not be able to lift both arms and keep them there, because of arm weakness or numbness in one arm.,Speech – their speech may be slurred or garbled, or the person may not be able to talk at all, despite appearing to be awake.,complete paralysis of one side of the body,sudden loss or blurring of vision ,dizziness,confusion,difficulty understanding what others are saying,problems with balance and co-ordination ,difficulty swallowing (dysphagia)"
278,Trigeminal neuralgia,"talking,smiling,chewing,brushing your teeth,washing your face,a light touch,shaving or putting on make-up,swallowing,kissing,a cool breeze or air conditioning,head movements,vibrations, such as walking or a car journey"
279,Tuberculosis (TB),"lack of appetite and weight loss,a high temperature (fever),night sweats,extreme tiredness or fatigue,abdominal (tummy) pain,pain and loss of movement in an affected bone or joint,confusion,seizures (fits)"
280,Type 1 diabetes,"urinating more frequently than usual, particularly at night,feeling very tired,weight loss and loss of muscle bulk,blurred vision caused by the lens of your eye changing shape,slow healing of cuts and grazes,a loss of appetite,nausea or vomiting,a high temperature,stomach pain,fruity smelling breath – which may smell like pear drops or nail varnish (others will usually be able to smell it, but you won't),feeling shaky and irritable,sweating,tingling lips,feeling weak,feeling confused ,hunger,nausea (feeling sick),extreme thirst,blurred vision,drowsiness,a need to pass urine frequently "
281,Type 2 diabetes,"urinating more often than usual, particularly at night,feeling very tired,unexplained weight loss,cuts or wounds that heal slowly,blurred vision – caused by the lens of the eye becoming dry,eating too much,being unwell,ineffective diabetes medication, or not taking enough"
282,Underactive thyroid,"tiredness,being sensitive to cold,weight gain,constipation,depression,slow movements and thoughts,muscle aches and weakness,muscle cramps,dry and scaly skin,brittle hair and nails,loss of libido (sex drive),pain, numbness and a tingling sensation in the hand and fingers (carpal tunnel syndrome),irregular periods or heavy periods,a low-pitched and hoarse voice,a puffy-looking face,thinned or partly missing eyebrows,a slow heart rate,hearing loss,anaemia"
283,Urinary incontinence,"sneezing ,laughing ,heavy lifting ,exercise"
284,Urinary tract infection (UTI),"a need to pee more often than usual,pain or discomfort when peeing,sudden urges to pee,feeling as though you're unable to empty your bladder fully,pain low down in your tummy,urine that's cloudy, foul-smelling or contains blood,feeling generally unwell, achy and tired,a high temperature (fever) of 38C (100.4ºF) or above,pain in your sides or back,shivering and chills,feeling and being sick,confusion,agitation or restlessness"
285,Urinary tract infection (UTI) in children,"your child is less than six months old,there's no improvement in your child's symptoms within 24 to 48 hours of treatment,your child has repeated UTIs,a dimercaptosuccinic acid (DMSA) scan – where your child is injected with a slightly radioactive substance called DMSA that shows up on a special device called a gamma camera, which takes pictures of your child's kidneys; after the scan, the DMSA will pass harmlessly out of your child's body in their urine"
286,Urticaria (hives),"an allergic reaction to latex – which can be a common problem in healthcare workers,insect bites and stings,emotional stress,physical triggers –such as pressure to the skin, changes in temperature, sunlight, exercise or water,viral hepatitis (liver infection),intestinal parasites,stress,alcohol,caffeine,warm temperatures,prolonged pressure on the skin – this can happen by wearing tight clothing,medications –such as NSAIDs, and the painkiller codeine,certain food additives –such as salicylates, which are found in tomatoes, orange juice and tea,insect bites and stings,exposure to heat, cold, pressure or water"
287,Vaginal cancer,"cervix – known as cervical intraepithelial neoplasia (CIN),vagina – known as vaginal intraepithelial neoplasia (VAIN),your age – 7 out of every 10 cases of vaginal cancer occur in women over 60 and the condition is extremely rare in women under 40,smoking,Cancer Research UK: risks and causes of vaginal cancer"
